#options: 2580x1080 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5070 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.16 aq:26.84 tex:370605 mv:134919 misc:588 imb:11016 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:35.65 aq:27.63 tex:45956 mv:27890 misc:7274 imb:804 pmb:2162 smb:8050 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:35.65 aq:31.45 tex:4986 mv:14738 misc:4180 imb:81 pmb:1213 smb:9722 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:35.68 aq:27.54 tex:46868 mv:26247 misc:7597 imb:847 pmb:2198 smb:7971 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:35.71 aq:28.01 tex:83257 mv:35440 misc:7575 imb:1417 pmb:2624 smb:6975 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:35.69 aq:30.89 tex:9115 mv:18009 misc:5028 imb:136 pmb:1490 smb:9390 d:- ref:0 ;
in:9 out:6 type:P dur:2 cpbdur:2 q:35.77 aq:28.18 tex:123270 mv:47134 misc:7772 imb:2579 pmb:2994 smb:5443 d:- ref:0 ;
in:7 out:7 type:B dur:2 cpbdur:2 q:35.74 aq:28.71 tex:14540 mv:29631 misc:7205 imb:302 pmb:2303 smb:8411 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:35.73 aq:30.40 tex:6857 mv:20486 misc:5281 imb:140 pmb:1570 smb:9306 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:35.76 aq:31.63 tex:5403 mv:14327 misc:4766 imb:119 pmb:1287 smb:9610 d:- ref:0 ;
in:11 out:10 type:P dur:2 cpbdur:2 q:35.82 aq:27.94 tex:68003 mv:33188 misc:8289 imb:1732 pmb:2393 smb:6891 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:35.80 aq:29.14 tex:8839 mv:17832 misc:5529 imb:213 pmb:1458 smb:9345 d:- ref:0 ;
in:13 out:12 type:P dur:2 cpbdur:2 q:35.88 aq:27.35 tex:76831 mv:37390 misc:8731 imb:2239 pmb:2452 smb:6325 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:35.85 aq:29.95 tex:6937 mv:16652 misc:5019 imb:156 pmb:1323 smb:9537 d:- ref:0 ;
in:16 out:14 type:P dur:2 cpbdur:2 q:35.94 aq:28.21 tex:69565 mv:34491 misc:8096 imb:1835 pmb:2287 smb:6894 d:- ref:0 ;
in:14 out:15 type:B dur:2 cpbdur:2 q:35.90 aq:29.61 tex:8443 mv:18402 misc:5267 imb:153 pmb:1500 smb:9363 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:35.92 aq:30.53 tex:6749 mv:15562 misc:4793 imb:136 pmb:1271 smb:9609 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:35.99 aq:28.41 tex:42840 mv:26478 misc:7938 imb:1175 pmb:2053 smb:7788 d:- ref:0 ;
in:19 out:18 type:P dur:2 cpbdur:2 q:36.02 aq:27.75 tex:66989 mv:34215 misc:8428 imb:1995 pmb:2296 smb:6725 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:36.01 aq:30.59 tex:5968 mv:15249 misc:4431 imb:145 pmb:1160 smb:9711 d:- ref:0 ;
in:21 out:20 type:P dur:2 cpbdur:2 q:36.07 aq:27.96 tex:54747 mv:29011 misc:7818 imb:1257 pmb:2123 smb:7636 d:- ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:36.05 aq:29.42 tex:5845 mv:14423 misc:4148 imb:126 pmb:1126 smb:9764 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:36.11 aq:28.21 tex:46377 mv:20882 misc:6437 imb:649 pmb:1742 smb:8625 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:36.09 aq:30.33 tex:3970 mv:9453 misc:2913 imb:34 pmb:821 smb:10161 d:- ref:0 ;
in:25 out:24 type:P dur:2 cpbdur:2 q:40.11 aq:33.92 tex:78914 mv:33027 misc:4579 imb:5426 pmb:988 smb:4602 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:38.11 aq:35.63 tex:2506 mv:7451 misc:2475 imb:30 pmb:688 smb:10298 d:- ref:0 ;
in:27 out:26 type:P dur:2 cpbdur:2 q:42.25 aq:37.27 tex:50574 mv:34082 misc:4224 imb:6214 pmb:1126 smb:3676 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:41.18 aq:35.45 tex:25552 mv:27340 misc:6204 imb:1867 pmb:2443 smb:6706 d:- ref:0 ;
in:29 out:28 type:P dur:2 cpbdur:2 q:40.98 aq:34.74 tex:55909 mv:29182 misc:4349 imb:6545 pmb:813 smb:3658 d:- ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:41.62 aq:37.20 tex:4890 mv:10655 misc:3719 imb:338 pmb:724 smb:9954 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:40.27 aq:33.86 tex:101587 mv:37272 misc:4405 imb:5855 pmb:1359 smb:3802 d:- ref:0 ;
in:32 out:31 type:P dur:2 cpbdur:2 q:39.64 aq:33.43 tex:100731 mv:42716 misc:4601 imb:6454 pmb:1462 smb:3100 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:39.95 aq:35.80 tex:29839 mv:34830 misc:4459 imb:2689 pmb:2136 smb:6191 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:38.27 aq:28.37 tex:225273 mv:52976 misc:4295 imb:7772 pmb:1660 smb:1584 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:38.95 aq:32.75 tex:7043 mv:11658 misc:4219 imb:173 pmb:1086 smb:9757 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:39.30 aq:35.71 tex:3499 mv:7212 misc:3113 imb:98 pmb:710 smb:10208 d:- ref:0 ;
